id,select_type,table,partitions,type,possible_keys,key,key_len,ref,rows,filtered,Extra
1,SIMPLE,u,,range,idx_ln_n,idx_ln_n,68,,2320,11.11,Using index condition; Using temporary; Using filesort
1,SIMPLE,f,,ALL,,,,,8,100,Using where; Using join buffer (Block Nested Loop)
