id,select_type,table,partitions,type,possible_keys,key,key_len,ref,rows,filtered,Extra
1,SIMPLE,u,NULL,ALL,NULL,NULL,NULL,NULL,1069068,1.23,Using where; Using temporary; Using filesort
1,SIMPLE,f,NULL,ALL,NULL,NULL,NULL,NULL,8,100,Using where; Using join buffer (Block Nested Loop)
